state,electorate,site_id,latitude,longitude,legs,description,layout_1,layout_1_enter,layout_2,layout_2_enter,layout_3,layout_3_enter,layout_4,layout_4_enter,layout_5,layout_5_enter,layout_6,layout_6_enter,leg1-2,leg1-3,leg1-4,leg1-5,leg1-6,leg2-1,leg2-3,leg2-4,leg2-5,leg2-6,leg3-1,leg3-2,leg3-4,leg3-5,leg3-6,leg4-1,leg4-2,leg4-3,leg4-5,leg4-6,leg5-1,leg5-2,leg5-3,leg5-4,leg5-6,leg6-1,leg6-2,leg6-3,leg6-4,leg6-5,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,leg6_enter,leg6_exit,leg6_total,female,male,not known,total,year,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,location,geolocation
VIC,Melbourne,4431,-37.813323,144.973964,4,"MacArthur St dogleg [NE], Spring St [S], Collins St [W], Spring St [N]",23,203,160,340,250,70,340,160,,,,,65,426,13,,,5,13,51,,,24,3,9,,,6,84,9,,,,,,,,,,,,,504,35,539,69,152,221,36,448,484,99,73,172,,,,,,,195,507,6,708,2017,31,37,73,64,108,112,155,128,POINT (144.973964 -37.813323),"-37.813323, 144.973964"
VIC,Melbourne,4441,-37.820346,144.957546,4,"Flinders St towards Spring St [E], King St [S], Flinders St [W], King St [N]",70,250,160,340,250,70,340,160,,,,,1,43,27,,,21,2,63,,,16,3,5,,,5,4,1,,,,,,,,,,,,,71,42,113,86,8,94,24,46,70,10,95,105,,,,,,,37,147,7,191,2017,9,15,15,35,30,38,20,29,POINT (144.957546 -37.820346),"-37.820346, 144.957546"
VIC,Melbourne,4430,-37.81321,144.951431,4,"La Trobe St [E], Spencer St [S], La Trobe St [W], Spencer St [N]",70,250,160,340,250,70,340,160,,,,,3,97,1,,,14,4,28,,,195,37,3,,,4,30,1,,,,,,,,,,,,,101,213,314,46,70,116,235,102,337,35,32,67,,,,,,,,,417,417,2010,,,,,,,,,POINT (144.951431 -37.81321),"-37.81321, 144.951431"
VIC,Melbourne,4445,-37.823025,144.97644,2,"Upstream direction [SE], Capital City Trail [NW]",143,323,323,143,,,,,,,,,659,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,659,193,852,193,659,852,,,,,,,,,,,,,,,852,852,2010,,,,,,,,,POINT (144.97644 -37.823025),"-37.823025, 144.97644"
VIC,Melbourne,4406,-37.794117,144.927689,4,"McCracken St [N], Macaulay Rd [E], Kensington Rd [SW], Epsom [NW]",0,180,98,278,233,53,323,143,,,,,4,2,0,,,0,8,5,,,0,26,0,,,0,52,5,,,,,,,,,,,,,6,0,6,13,82,95,26,15,41,57,5,62,,,,,,,,,102,102,2011,,,,,,,,,POINT (144.927689 -37.79411700000001),"-37.794117, 144.927689"
VIC,Melbourne,4409,-37.795421,144.93885,5,"Boundary Rd [N], Canning St [E], Macaulay Rd [SE], Boundary Rd [S], Macaulay Rd [W]",8,188,98,278,140,320,188,8,278,98,,,0,4,0,2,,2,0,0,3,,1,0,0,6,,1,0,0,1,,1,11,137,0,,,,,,,6,5,11,5,11,16,7,141,148,2,0,2,149,12,161,,,,,,169,169,2011,,,,,,,,,POINT (144.93885 -37.795421),"-37.795421, 144.93885"
VIC,Melbourne,4430,-37.81321,144.951431,4,"La Trobe St [E], Spencer St [S], La Trobe St [W], Spencer St [N]",70,250,160,340,250,70,340,160,,,,,3,58,2,,,9,3,32,,,192,29,2,,,8,43,2,,,,,,,,,,,,,63,209,272,44,75,119,223,63,286,53,36,89,,,,,,,,,383,383,2011,,,,,,,,,POINT (144.951431 -37.81321),"-37.81321, 144.951431"
VIC,Melbourne,4441,-37.820346,144.957546,4,"Flinders St towards Spring St [E], King St [S], Flinders St [W], King St [N]",70,250,160,340,250,70,340,160,,,,,2,26,18,,,8,0,51,,,17,0,8,,,8,7,1,,,,,,,,,,,,,46,33,79,59,9,68,25,27,52,16,77,93,,,,,,,,,146,146,2011,,,,,,,,,POINT (144.957546 -37.820346),"-37.820346, 144.957546"
VIC,Melbourne,4442,-37.821009,144.947427,4,"Collins St (city) [E], Harbour Esp [S], Collins St [W], Harbour Esp [N]",70,250,168,348,250,70,345,165,,,,,14,23,11,,,13,1,85,,,6,1,0,,,116,309,6,,,,,,,,,,,,,48,135,183,99,324,423,7,30,37,431,96,527,,,,,,,,,585,585,2011,,,,,,,,,POINT (144.947427 -37.821009),"-37.821009, 144.947427"
VIC,Melbourne,4433,-37.815089,144.944713,3,"La Trobe [E], Capital City Trail/Harbour Esp [S], Capital City Trail/Harbour Esp [N]",70,250,161,341,341,161,,,,,,,71,15,,,,35,136,,,,200,790,,,,,,,,,,,,,,,,,,,86,235,321,171,861,1032,990,151,1141,,,,,,,,,,,,1247,1247,2012,,,,,,,,,POINT (144.944713 -37.815089),"-37.815089, 144.944713"
VIC,Melbourne,4423,-37.810334,144.961361,4,"La Trobe towards Exhibition St [E], Elizabeth St [S], La Trobe St [W], Elizabeth St [N]",70,250,160,340,250,70,340,160,,,,,38,193,4,,,5,17,69,,,87,17,4,,,9,276,14,,,,,,,,,,,,,235,101,336,91,331,422,108,224,332,299,77,376,,,,,,,,,733,733,2013,,,,,,,,,POINT (144.961361 -37.810334),"-37.810334, 144.961361"
VIC,Melbourne,4426,-37.811378,144.973053,3,"Spring St [S], Bourke St [W], Spring St [N]",160,340,250,70,340,160,,,,,,,5,53,,,,9,17,,,,174,89,,,,,,,,,,,,,,,,,,,58,183,241,26,94,120,263,70,333,,,,,,,,,,,,347,347,2013,,,,,,,,,POINT (144.973053 -37.811378),"-37.811378, 144.973053"
VIC,Melbourne,4427,-37.811749,144.956451,4,"La Trobe towards Exhibition St [E], William St [S], La Trobe St [W], William St [N]",70,250,160,340,250,70,340,160,,,,,39,120,2,,,2,13,29,,,139,43,9,,,9,384,54,,,,,,,,,,,,,161,150,311,44,466,510,191,187,378,447,40,487,,,,,,,,,843,843,2013,,,,,,,,,POINT (144.956451 -37.811749000000006),"-37.811749, 144.956451"
VIC,Melbourne,4435,-37.816005,144.972394,4,"Flinders St [E], Batman Ave [SE], Flinders St [W], Exhibition St (city) [N]",70,250,146,326,250,70,340,160,,,,,13,75,13,,,111,13,371,,,60,6,42,,,2,27,28,,,,,,,,,,,,,101,173,274,495,46,541,108,116,224,57,426,483,,,,,,,,,761,761,2013,,,,,,,,,POINT (144.972394 -37.816005),"-37.816005, 144.972394"
VIC,Melbourne,4448,-37.823795,144.947479,3,"Capital City Trail [E], Path to marina [S], Webb Bridge [N]",100,280,190,10,345,165,,,,,,,61,318,,,,34,24,,,,530,125,,,,,,,,,,,,,,,,,,,379,564,943,58,186,244,655,342,997,,,,,,,,,,,,1092,1092,2013,,,,,,,,,POINT (144.947479 -37.823795000000004),"-37.823795, 144.947479"
VIC,Melbourne,4983,-37.810411,144.983541,4,"Clarendon St [N], Albert St [E], Clarendon St [S], Albert St [W]",7,187,98,278,187,7,279,99,,,,,2,254,121,,,1,14,232,,,41,4,126,,,3,27,81,,,,,,,,,,,,,377,45,422,247,33,280,171,349,520,111,479,590,,,,,,,,,906,906,2013,,,,,,,,,POINT (144.983541 -37.810411),"-37.810411, 144.983541"
VIC,Melbourne,4399,-37.787979,144.959,2,"Royal Pde/shared path [N], Royal Pde/shared path [S]",5,185,186,6,,,,,,,,,1344,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,1344,61,1405,61,1344,1405,,,,,,,,,,,,,0,0,1405,1405,2014,,,,,,,,,POINT (144.959 -37.787979),"-37.787979, 144.959"
VIC,Melbourne,4416,-37.808155,144.968765,4,"Exhibition St [N], La Trobe St [E], Exhibition St [S], La Trobe St [W]",6,186,70,250,160,340,250,70,,,,,2,488,318,,,1,17,141,,,24,1,9,,,8,28,49,,,,,,,,,,,,,808,33,841,159,31,190,34,554,588,85,468,553,,,,,,,0,0,1086,1086,2014,,,,,,,,,POINT (144.968765 -37.808155),"-37.808155, 144.968765"
VIC,Melbourne,4434,-37.815277,144.974854,3,"Wellington Pde [E], Flinders St [W], Spring St [N]",98,278,250,70,340,160,,,,,,,55,41,,,,21,120,,,,7,43,,,,,,,,,,,,,,,,,,,96,28,124,141,98,239,50,161,211,,,,,,,,,,0,0,287,287,2014,,,,,,,,,POINT (144.974854 -37.815277),"-37.815277, 144.974854"
VIC,Melbourne,4435,-37.816005,144.972394,4,"Flinders St [E], Batman Ave [SE], Flinders St [W], Exhibition St (city) [N]",70,250,146,326,250,70,340,160,,,,,23,91,4,,,72,37,392,,,61,3,27,,,3,31,19,,,,,,,,,,,,,118,136,254,501,57,558,91,147,238,53,423,476,,,,,,,0,0,763,763,2014,,,,,,,,,POINT (144.972394 -37.816005),"-37.816005, 144.972394"
VIC,Melbourne,4421,-37.809612,144.963791,4,"La Trobe St [E], Swanston St (city) [S], La Trobe St [W], Swanston St [N]",70,250,160,340,250,70,340,160,,,,,63,352,5,,,17,35,288,,,137,31,8,,,0,481,20,,,,,,,,,,,,,420,154,574,340,575,915,176,407,583,501,301,802,,,,,,,440,863,134,1437,2015,52,97,130,167,235,273,260,223,POINT (144.963791 -37.809612),"-37.809612, 144.963791"
VIC,Melbourne,4422,-37.80994,144.935898,4,"Upstream direction [N], Capital City Trail [E], Pearl River Rd [S], Footscray Rd bridge [W]",8,188,108,288,188,8,283,103,,,,,563,163,20,,,36,0,58,,,6,2,13,,,35,728,113,,,,,,,,,,,,,746,77,823,94,1293,1387,21,276,297,876,91,967,,,,,,,368,1352,17,1737,2015,125,144,178,246,276,359,229,180,POINT (144.935898 -37.80994),"-37.80994, 144.935898"
VIC,Melbourne,4438,-37.818619,144.970248,3,"Princes Walk [E], Low Path to river bank [SW], High Path to Swanston St [W]",85,265,245,65,278,98,,,,,,,457,490,,,,115,12,,,,109,7,,,,,,,,,,,,,,,,,,,947,224,1171,127,464,591,116,502,618,,,,,,,,,,281,904,5,1190,2015,69,108,132,160,193,173,188,167,POINT (144.970248 -37.818619),"-37.818619, 144.970248"
VIC,Melbourne,4440,-37.81992,144.96138,4,"Banana Alley [E], Queensbridge St [S], William St [W], Market St [N]",70,250,180,360,250,70,350,170,,,,,72,26,208,,,14,128,203,,,18,65,5,,,5,51,2,,,,,,,,,,,,,306,37,343,345,188,533,88,156,244,58,416,474,,,,,,,171,626,0,797,2015,42,69,97,87,109,155,119,119,POINT (144.96138 -37.81992),"-37.81992, 144.96138"
VIC,Melbourne,4399,-37.787979,144.959,2,"Royal Pde/shared path [N], Royal Pde/shared path [S]",5,185,186,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,828,3,1385,2016,64,113,102,163,204,249,252,238,POINT (144.959 -37.787979),"-37.787979, 144.959"
VIC,Melbourne,4409,-37.795421,144.93885,5,"Boundary Rd [N], Canning St [E], Macaulay Rd [SE], Boundary Rd [S], Macaulay Rd [W]",8,188,98,278,140,320,188,8,278,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,108,1,175,2016,4,17,28,17,20,36,34,19,POINT (144.93885 -37.795421),"-37.795421, 144.93885"
VIC,Melbourne,4426,-37.811378,144.973053,3,"Spring St [S], Bourke St [W], Spring St [N]",160,340,250,70,340,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,202,0,298,2016,9,20,28,38,45,43,60,55,POINT (144.973053 -37.811378),"-37.811378, 144.973053"
VIC,Melbourne,4430,-37.81321,144.951431,4,"La Trobe St [E], Spencer St [S], La Trobe St [W], Spencer St [N]",70,250,160,340,250,70,340,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,563,1,737,2016,57,67,66,100,100,131,99,117,POINT (144.951431 -37.81321),"-37.81321, 144.951431"
VIC,Melbourne,4439,-37.819073,144.954158,4,"Collins St towards Collins St [E], Spencer St [S], Collins St [W], Spencer St [N]",70,250,160,340,250,70,340,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,293,2,371,2016,34,33,50,38,62,56,48,50,POINT (144.954158 -37.819073),"-37.819073, 144.954158"
VIC,Melbourne,4442,-37.821009,144.947427,4,"Collins St (city) [E], Harbour Esp [S], Collins St [W], Harbour Esp [N]",70,250,168,348,250,70,345,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,746,2,949,2016,65,97,35,156,163,197,141,95,POINT (144.947427 -37.821009),"-37.821009, 144.947427"
VIC,Melbourne,6554,-37.825963,144.960053,4,"Queens Bridge St [N], City Rd [NE], Morray St [S], City Rd [SW]",12,192,43,223,158,338,222,42,,,,,4,53,15,,,1,4,16,,,108,8,0,,,27,11,2,,,,,,,,,,,,,72,136,208,21,23,44,116,59,175,40,31,71,,,,,,,49,193,7,249,2017,6,26,37,23,46,35,33,43,POINT (144.960053 -37.825963),"-37.825963, 144.960053"
VIC,Melbourne,4405,-37.793993,144.941956,3,"Melrose St [N], Melrose St [S], Mark St [W]",8,188,188,8,278,98,,,,,,,20,4,,,,7,3,,,,2,6,,,,,,,,,,,,,,,,,,,24,9,33,10,26,36,8,7,15,,,,,,,,,,18,23,1,42,2017,2,5,6,4,4,2,8,11,POINT (144.941956 -37.793993),"-37.793993, 144.941956"
VIC,Melbourne,4412,-37.799747,144.957474,4,"Royal Pde [N], Grattan St [E], Royal Pde (city) [S], Grattan St [W]",6,186,98,278,185,5,278,98,,,,,37,889,10,,,19,35,53,,,35,7,1,,,14,207,0,,,,,,,,,,,,,936,68,1004,107,251,358,43,924,967,221,64,285,,,,,,,492,815,0,1307,2017,70,86,119,161,173,211,211,276,POINT (144.957474 -37.799747),"-37.799747, 144.957474"
VIC,Melbourne,4427,-37.811749,144.956451,4,"La Trobe towards Exhibition St [E], William St [S], La Trobe St [W], William St [N]",70,250,160,340,250,70,340,160,,,,,124,213,2,,,9,14,42,,,234,74,19,,,22,418,98,,,,,,,,,,,,,339,265,604,65,616,681,327,325,652,538,63,601,,,,,,,345,923,1,1269,2017,41,89,113,173,170,226,257,200,POINT (144.956451 -37.811749000000006),"-37.811749, 144.956451"
VIC,Melbourne,4985,-37.787695,144.925278,4,"Clarence St [N], Racecourse Rd [E], Smithfield Rd [SW], Racecourse Rd [W]",8,188,98,278,233,53,277,97,,,,,3,0,0,,,1,14,7,,,0,20,0,,,0,35,0,,,,,,,,,,,,,3,1,4,22,58,80,20,14,34,35,7,42,,,,,,,28,52,0,80,2017,2,6,7,4,20,11,15,15,POINT (144.925278 -37.787695),"-37.787695, 144.925278"
VIC,Melbourne,4407,-37.79454,144.930987,4,"Macaulay Rd - east end [E], Eastwood St [S], Macaulay Rd [W], Eastwood St/Rankins Rd [N]",98,278,161,341,278,98,350,170,,,,,2,17,2,,,0,1,3,,,98,12,5,,,67,21,5,,,,,,,,,,,,,21,165,186,4,35,39,115,23,138,93,10,103,,,,,,,,,233,233,2010,,,,,,,,,POINT (144.93098700000002 -37.79454),"-37.79454, 144.930987"
VIC,Melbourne,4420,-37.809547,144.975632,4,"Gisborne St [N], Albert St [E], Gisborne St [S], Albert St (city) [W]",8,188,98,278,188,8,278,98,,,,,7,420,69,,,25,54,215,,,32,7,4,,,1,30,16,,,,,,,,,,,,,496,58,554,294,44,338,43,490,533,47,288,335,,,,,,,,,880,880,2010,,,,,,,,,POINT (144.975632 -37.809547),"-37.809547, 144.975632"
VIC,Melbourne,4429,-37.812531,144.953873,4,"La Trobe [E], King St (city) [S], La Trobe St [W], King St [N]",70,250,160,340,250,70,340,160,,,,,5,82,3,,,2,2,11,,,167,27,5,,,6,30,3,,,,,,,,,,,,,90,175,265,15,62,77,199,87,286,39,19,58,,,,,,,,,343,343,2010,,,,,,,,,POINT (144.953873 -37.812531),"-37.812531, 144.953873"
VIC,Melbourne,4433,-37.815089,144.944713,3,"La Trobe [E], Capital City Trail/Harbour Esp [S], Capital City Trail/Harbour Esp [N]",70,250,161,341,341,161,,,,,,,38,13,,,,22,73,,,,160,625,,,,,,,,,,,,,,,,,,,51,182,233,95,663,758,785,86,871,,,,,,,,,,,,931,931,2011,,,,,,,,,POINT (144.944713 -37.815089),"-37.815089, 144.944713"
VIC,Melbourne,4417,-37.808903,144.966278,4,"La Trobe St [E], Russell St (city) [S], La Trobe St [W], Russell St [N]",70,250,160,340,250,70,340,160,,,,,7,450,2,,,0,3,8,,,100,33,4,,,7,41,25,,,,,,,,,,,,,459,107,566,11,81,92,137,478,615,73,14,87,,,,,,,0,0,680,680,2014,,,,,,,,,POINT (144.966278 -37.808903),"-37.808903, 144.966278"
VIC,Melbourne,4417,-37.808903,144.966278,4,"La Trobe St [E], Russell St (city) [S], La Trobe St [W], Russell St [N]",70,250,160,340,250,70,340,160,,,,,12,450,9,,,4,5,9,,,142,26,6,,,2,56,17,,,,,,,,,,,,,471,148,619,18,94,112,174,472,646,75,24,99,,,,,,,230,493,15,738,2015,29,51,65,83,130,143,106,131,POINT (144.966278 -37.808903),"-37.808903, 144.966278"
VIC,Melbourne,4427,-37.811749,144.956451,4,"La Trobe towards Exhibition St [E], William St [S], La Trobe St [W], William St [N]",70,250,160,340,250,70,340,160,,,,,47,136,2,,,3,11,29,,,258,53,17,,,18,396,67,,,,,,,,,,,,,185,279,464,43,496,539,328,214,542,481,48,529,,,,,,,290,747,0,1037,2015,73,65,103,113,184,174,194,131,POINT (144.956451 -37.811749000000006),"-37.811749, 144.956451"
VIC,Melbourne,4430,-37.81321,144.951431,4,"La Trobe St [E], Spencer St [S], La Trobe St [W], Spencer St [N]",70,250,160,340,250,70,340,160,,,,,11,123,4,,,13,12,34,,,326,29,3,,,8,32,4,,,,,,,,,,,,,138,347,485,59,72,131,358,139,497,44,41,85,,,,,,,136,447,16,599,2015,38,32,56,67,104,112,128,62,POINT (144.951431 -37.81321),"-37.81321, 144.951431"
VIC,Melbourne,4439,-37.819073,144.954158,4,"Collins St towards Collins St [E], Spencer St [S], Collins St [W], Spencer St [N]",70,250,160,340,250,70,340,160,,,,,14,52,5,,,20,10,88,,,70,30,5,,,9,43,7,,,,,,,,,,,,,71,99,170,118,87,205,105,69,174,59,98,157,,,,,,,55,297,1,353,2015,28,40,31,51,53,48,45,57,POINT (144.954158 -37.819073),"-37.819073, 144.954158"
VIC,Melbourne,4423,-37.810334,144.961361,4,"La Trobe towards Exhibition St [E], Elizabeth St [S], La Trobe St [W], Elizabeth St [N]",70,250,160,340,250,70,340,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,682,0,936,2016,43,63,72,120,154,174,180,130,POINT (144.961361 -37.810334),"-37.810334, 144.961361"
VIC,Melbourne,4433,-37.815089,144.944713,3,"La Trobe [E], Capital City Trail/Harbour Esp [S], Capital City Trail/Harbour Esp [N]",70,250,161,341,341,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,1379,0,1714,2016,129,121,193,252,285,284,271,179,POINT (144.944713 -37.815089),"-37.815089, 144.944713"
VIC,Melbourne,4409,-37.795421,144.93885,5,"Boundary Rd [N], Canning St [E], Macaulay Rd [SE], Boundary Rd [S], Macaulay Rd [W]",8,188,98,278,140,320,188,8,278,98,,,0,2,0,2,,0,0,0,3,,2,0,0,17,,1,0,0,0,,2,34,166,0,,,,,,,4,5,9,3,34,37,19,168,187,1,0,1,202,22,224,,,,74,152,3,229,2017,17,18,26,27,32,31,37,41,POINT (144.93885 -37.795421),"-37.795421, 144.93885"
VIC,Melbourne,4414,-37.804562,144.963226,4,"Swanston St [N], Queensberry St [E], Swanston St [S], Queensberry St [W]",8,188,98,278,188,8,278,98,,,,,22,362,3,,,8,32,129,,,153,9,26,,,10,170,125,,,,,,,,,,,,,387,171,558,169,201,370,188,519,707,305,158,463,,,,,,,382,664,3,1049,2017,32,78,97,96,136,186,223,201,POINT (144.963226 -37.804562),"-37.804562, 144.963226"
VIC,Melbourne,4416,-37.808155,144.968765,4,"Exhibition St [N], La Trobe St [E], Exhibition St [S], La Trobe St [W]",6,186,70,250,160,340,250,70,,,,,1,569,376,,,2,13,164,,,29,1,10,,,1,25,71,,,,,,,,,,,,,946,32,978,179,27,206,40,653,693,97,550,647,,,,,,,443,819,0,1262,2017,49,76,118,147,181,237,244,210,POINT (144.968765 -37.808155),"-37.808155, 144.968765"
VIC,Melbourne,4449,-37.824209,144.952186,4,"South Wharf Prom [E], Capital City Trail [SE], Capital City Trail [W], Seafarers Bridge [N]",83,263,125,305,262,82,340,160,,,,,1,0,1,,,2,129,395,,,0,52,53,,,0,319,9,,,,,,,,,,,,,2,2,4,526,372,898,105,138,243,328,449,777,,,,,,,212,748,1,961,2017,53,71,111,121,179,157,143,126,POINT (144.952186 -37.824209),"-37.824209, 144.952186"
VIC,Melbourne,4454,-37.78757,144.939982,5,"Capital City Trail Ramp [NE], Flemington Rd [SE], Capital City Trail [SW], Moonee Ponds Crk Trail [NW], Mt Alexander Rd [N]",64,244,138,318,235,55,300,120,340,160,,,5,427,0,23,,0,5,0,9,,61,4,1,16,,0,0,0,0,,36,37,193,34,,,,,,,455,97,552,14,46,60,82,625,707,0,35,35,300,48,348,,,,210,641,0,851,2017,65,81,107,135,159,124,108,72,POINT (144.939982 -37.78757),"-37.78757, 144.939982"
